algorithm,data_distribution,n,repetitions_requested,repetitions_completed,complexity,status,time_limit_seconds,total_time_seconds,average_time_seconds
Cocktail Shaker Sort,reversed,10000000,1,1,quadratic,time_limit_reached,60.00,60.009000000,6.000900000000e+01
Gnome Sort,reversed,10000000,1,1,quadratic,time_limit_reached,60.00,60.000000000,6.000000000000e+01
Insertion Sort,almost_sorted,10,200000,200000,quadratic,ok,60.00,0.069000000,3.450000000000e-07
Selection Sort,almost_sorted,10,200000,200000,quadratic,ok,60.00,0.066000000,3.300000000000e-07
Bubble Sort,almost_sorted,10,200000,200000,quadratic,ok,60.00,0.067000000,3.350000000000e-07
Merge Sort,almost_sorted,10,200000,200000,general,ok,120.00,0.124000000,6.200000000000e-07
Quick Sort,almost_sorted,10,200000,200000,quick,ok,10.00,0.302000000,1.510000000000e-06
Shell Sort,almost_sorted,10,200000,200000,general,ok,120.00,0.105000000,5.250000000000e-07
Count Sort,almost_sorted,10,200000,200000,general,ok,120.00,0.026000000,1.300000000000e-07
Cocktail Shaker Sort,almost_sorted,10,200000,200000,quadratic,ok,60.00,0.020000000,1.000000000000e-07
Gnome Sort,almost_sorted,10,200000,200000,quadratic,ok,60.00,0.133000000,6.650000000000e-07
Insertion Sort,almost_sorted,20,100000,100000,quadratic,ok,60.00,0.067000000,6.700000000000e-07
Selection Sort,almost_sorted,20,100000,100000,quadratic,ok,60.00,0.070000000,7.000000000000e-07
Bubble Sort,almost_sorted,20,100000,100000,quadratic,ok,60.00,0.071000000,7.100000000000e-07
Merge Sort,almost_sorted,20,100000,100000,general,ok,120.00,0.130000000,1.300000000000e-06
Quick Sort,almost_sorted,20,100000,100000,quick,ok,10.00,0.581000000,5.810000000000e-06
Shell Sort,almost_sorted,20,100000,100000,general,ok,120.00,0.148000000,1.480000000000e-06
Count Sort,almost_sorted,20,100000,100000,general,ok,120.00,0.018000000,1.800000000000e-07
Cocktail Shaker Sort,almost_sorted,20,100000,100000,quadratic,ok,60.00,0.017000000,1.700000000000e-07
